"","date","wave","SPHM","SI","SVAX","UNC","EVD","NEG","SAT","ADH","PRJ100","CC100","CD100","TH100","VAX100","CC","CD","TH","VAX","PRJ"
"1",2020-02-27,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,NA
"2",2020-02-28,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,NA
"3",2020-02-29,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,NA
"4",2020-03-01,1,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,NA
"5",2020-03-02,1,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,NA
"6",2020-03-03,1,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,NA
"7",2020-03-04,1,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,NA
"8",2020-03-05,1,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,NA
"9",2020-03-06,1,0,0,NA,NA,NA,NA,NA,NA,NA,0.00532623169107856,0,0,NA,1,0,0,NA,NA
"10",2020-03-07,1,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,NA
"11",2020-03-08,1,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,NA
"12",2020-03-09,1,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,NA
"13",2020-03-10,1,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,NA
"14",2020-03-11,1,0,0,NA,NA,NA,NA,NA,NA,NA,0.0106524633821571,0,0,NA,2,0,0,NA,NA
"15",2020-03-12,1,3.6,3.6,NA,40.4868228183986,18.75,25,NA,NA,NA,0.0106524633821571,0,0,NA,2,0,0,NA,NA
"16",2020-03-13,1,11.9,11.9,NA,54.4977729200474,23.0769230769231,23.0769230769231,NA,NA,NA,0.00532623169107856,0,0,NA,1,0,0,NA,NA
"17",2020-03-14,1,20.2,20.2,NA,35.4817744342629,20,30,NA,NA,NA,0.00532623169107856,0,0,NA,1,0,0,NA,NA
"18",2020-03-15,1,31.3,31.3,NA,NA,NA,NA,NA,NA,NA,0.0106524633821571,0,0.0583941605839416,NA,2,0,2,NA,NA
"19",2020-03-16,1,31.3,31.3,NA,4.98844874394794,20,0,NA,NA,NA,0.0266311584553928,0,0.145985401459854,NA,5,0,5,NA,NA
"20",2020-03-17,1,31.3,31.3,NA,NA,NA,NA,NA,NA,NA,0.0213049267643142,0.75187969924812,0.175182481751825,NA,4,1,6,NA,NA
"21",2020-03-18,1,31.3,31.3,NA,42.8971585321671,5,5,NA,NA,NA,0.0426098535286285,0.75187969924812,0.204379562043796,NA,8,1,7,NA,NA
"22",2020-03-19,1,31.3,31.3,NA,16.0768076186533,29.4117647058824,29.4117647058824,NA,NA,NA,0.255659121171771,0,0.291970802919708,NA,48,0,10,NA,NA
"23",2020-03-20,1,31.3,31.3,NA,29.1195999226203,25,25,NA,NA,NA,0.399467376830892,0.75187969924812,0.554744525547445,NA,75,1,19,NA,NA
"24",2020-03-21,1,36.1,36.1,NA,14.2797991822369,22.2222222222222,27.7777777777778,NA,NA,NA,0.74034620505992,0.75187969924812,0.700729927007299,NA,139,1,24,NA,NA
"25",2020-03-22,1,58.3,58.3,NA,22.8354092012044,7.69230769230769,26.9230769230769,NA,NA,NA,0.910785619174434,0.75187969924812,1.31386861313869,NA,171,1,45,NA,NA
