"week","X","date","wave","SPHM","SI","SVAX","UNC","EVD","NEG","SAT1","SAT2","ADH1","ADH2","PRJ100","IG","CC100","CD100","TH100","VAX100","CC","CD","TH","VAX","PRJ"
2020-02-23,2,2020-02-27,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,NA
2020-03-01,7,2020-03-01,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000760890241582651,0,0,NA,0.142857142857143,0,0,NA,NA
2020-03-08,14,2020-03-08,1,5.1,5.1,NA,43.4887900575696,20.6089743589744,26.025641025641,NA,NA,NA,NA,NA,NA,0.0045653414494959,0,0,NA,0.857142857142857,0,0,NA,NA
2020-03-15,21,2020-03-15,1,31.9857142857143,31.9857142857143,NA,21.4723627999251,20.3267973856209,17.437908496732,NA,NA,NA,NA,NA,NA,0.213810157884725,0.429645542427497,0.304483837330553,NA,40.1428571428571,0.571428571428571,10.4285714285714,NA,NA
2020-03-22,28,2020-03-22,1,59.5,59.5,NA,22.4788603849348,17.4488538281642,37.8831991763026,NA,94,NA,NA,NA,NA,1.58265170249192,3.86680988184748,3.30761209593326,NA,297.142857142857,5.14285714285714,113.285714285714,NA,NA
2020-03-29,35,2020-03-29,1,71.4428571428572,71.4428571428572,NA,28.6289292798437,17.0795561387896,23.50135668951,NA,92,NA,NA,NA,NA,3.3334601483736,15.7894736842105,10.9989572471324,NA,625.857142857143,21,376.714285714286,NA,NA
2020-04-05,42,2020-04-05,1,75,75,NA,38.3881658406258,14.4539672223654,27.7079196733064,NA,95,NA,NA,NA,NA,3.43465855050409,42.2126745435016,19.6371220020855,NA,644.857142857143,56.1428571428571,672.571428571429,NA,NA
2020-04-12,49,2020-04-12,1,75,75,NA,50.7754163746533,9.3250923557829,38.9989769820972,NA,95,NA,NA,NA,NA,4.56458055925433,64.3394199785177,28.4171011470282,NA,857,85.5714285714286,973.285714285714,NA,NA
2020-04-19,56,2020-04-19,1,75,75,NA,53.2876117704424,9.86118544571025,30.2948605766099,NA,92,NA,NA,NA,NA,3.81738634202016,80.4511278195489,39.866527632951,NA,716.714285714286,107,1365.42857142857,NA,NA
2020-04-26,63,2020-04-26,1,75,75,NA,42.2890796660706,19.2621580856875,30.224206106559,NA,91,NA,NA,NA,NA,4.08217614609092,90.0107411385607,48.6631908237748,NA,766.428571428571,119.714285714286,1666.71428571429,NA,NA
